elapsed sec	to	from	days	date	year
100003170	6 6	3 146	1157.444097	03/03/1973	1973
100007837	7 3	4 146	1157.498113	03/03/1973	1973
100011056	8 1	08 158	1157.53537	03/03/1973	1973
100011339	0 7	8 82	1157.538646	03/03/1973	1973
100011366	2 1	36 6	1157.538958	03/03/1973	1973
100011596	4 1	46 73	1157.54162	03/03/1973	1973
100011801	0 2	5 98	1157.543993	03/03/1973	1973
100011801	0 2	5 103	1157.543993	03/03/1973	1973
100011810	6 8	3 19	1157.544097	03/03/1973	1973
100011904	7 9	9	1157.545185	03/03/1973	1973
100011904	7 9	20	1157.545185	03/03/1973	1973
100011904	7 9	48	1157.545185	03/03/1973	1973
100011904	7 9	91	1157.545185	03/03/1973	1973
100011904	7 9	152	1157.545185	03/03/1973	1973
100012272	4 8	2 107	1157.549444	03/03/1973	1973
100012272	4 8	2 107	1157.549444	03/03/1973	1973
100012272	4 8	2 126	1157.549444	03/03/1973	1973
100012463	2 1	55 162	1157.551655	03/03/1973	1973
100012463	2 1	55 162	1157.551655	03/03/1973	1973
100012517	9 5	0 29	1157.55228	03/03/1973	1973
100012571	1 1	10 155	1157.552905	03/03/1973	1973
100012571	1 1	10 155	1157.552905	03/03/1973	1973
100012638	3 3	2 7	1157.553681	03/03/1973	1973
100012638	3 3	2 77	1157.553681	03/03/1973	1973
100012638	3 3	2 86	1157.553681	03/03/1973	1973
100012761	1 1	03 25	1157.555104	03/03/1973	1973
100012761	1 1	03 98	1157.555104	03/03/1973	1973
100012984	7 9	9	1157.557685	03/03/1973	1973
100012984	7 9	20	1157.557685	03/03/1973	1973
100012984	7 9	48	1157.557685	03/03/1973	1973
100012984	7 9	91	1157.557685	03/03/1973	1973
100012984	7 9	152	1157.557685	03/03/1973	1973
100013287	4 7	3 27	1157.561192	03/03/1973	1973
100013345	1 1	2 63	1157.561863	03/03/1973	1973
100013345	1 1	2 146	1157.561863	03/03/1973	1973
100013447	1 6	3 34	1157.563044	03/03/1973	1973
100013447	1 6	3 146	1157.563044	03/03/1973	1973
100013457	4 6	3 34	1157.56316	03/03/1973	1973
100013503	4 1	53 147	1157.563692	03/03/1973	1973
100013503	4 1	53 147	1157.563692	03/03/1973	1973
100013523	6 5	0 172	1157.563924	03/03/1973	1973
100013523	6 5	0 172	1157.563924	03/03/1973	1973
100013623	6 3	4 63	1157.565081	03/03/1973	1973
100013623	6 3	4 146	1157.565081	03/03/1973	1973
100013704	4 9	5 31	1157.566019	03/03/1973	1973
100013704	4 9	5 98	1157.566019	03/03/1973	1973
100013704	4 9	5 100	1157.566019	03/03/1973	1973
100013704	4 9	5 124	1157.566019	03/03/1973	1973
100013704	4 9	5 170	1157.566019	03/03/1973	1973
100013909	9 1	26 47	1157.568391	03/03/1973	1973
100013909	9 1	26 61	1157.568391	03/03/1973	1973
100013909	9 1	26 62	1157.568391	03/03/1973	1973
100013909	9 1	26 89	1157.568391	03/03/1973	1973
100013909	9 1	26 93	1157.568391	03/03/1973	1973
100013909	9 1	26 102	1157.568391	03/03/1973	1973
100013909	9 1	26 118	1157.568391	03/03/1973	1973
100013909	9 1	26 120	1157.568391	03/03/1973	1973
100013909	9 1	26 132	1157.568391	03/03/1973	1973
100013909	9 1	26 134	1157.568391	03/03/1973	1973
100013909	9 1	26 136	1157.568391	03/03/1973	1973
100013909	9 1	26 176	1157.568391	03/03/1973	1973
100013931	7 1	08 108	1157.568646	03/03/1973	1973
100013931	7 1	08 108	1157.568646	03/03/1973	1973
100014310	3 3	8 38	1157.573032	03/03/1973	1973
100014463	9 6	3 146	1157.574803	03/03/1973	1973
100014493	3 6	3 34	1157.57515	03/03/1973	1973
100014493	3 6	3 73	1157.57515	03/03/1973	1973
100014618	6 1	51 177	1157.576597	03/03/1973	1973
100014640	1 3	4 63	1157.576852	03/03/1973	1973
100014640	1 3	4 63	1157.576852	03/03/1973	1973
100014640	1 3	4 63	1157.576852	03/03/1973	1973
100014641	1 3	4 63	1157.576863	03/03/1973	1973
100014641	1 3	4 63	1157.576863	03/03/1973	1973
100014641	1 3	4 63	1157.576863	03/03/1973	1973
100014649	8 3	4 63	1157.576956	03/03/1973	1973
100014649	8 3	4 146	1157.576956	03/03/1973	1973
100014652	1 6	3 34	1157.576991	03/03/1973	1973
100014792	2 7	4 5	1157.578611	03/03/1973	1973
100014792	2 7	4 27	1157.578611	03/03/1973	1973
100014792	2 7	4 37	1157.578611	03/03/1973	1973
100014792	2 7	4 51	1157.578611	03/03/1973	1973
100014792	2 7	4 57	1157.578611	03/03/1973	1973
100014792	2 7	4 69	1157.578611	03/03/1973	1973
100014792	2 7	4 69	1157.578611	03/03/1973	1973
100014792	2 7	4 73	1157.578611	03/03/1973	1973
100014792	2 7	4 82	1157.578611	03/03/1973	1973
100014792	2 7	4 94	1157.578611	03/03/1973	1973
100014792	2 7	4 107	1157.578611	03/03/1973	1973
100014792	2 7	4 128	1157.578611	03/03/1973	1973
100014792	2 7	4 147	1157.578611	03/03/1973	1973
100014792	2 7	4 161	1157.578611	03/03/1973	1973
100014844	4 6	3 34	1157.579213	03/03/1973	1973
100014844	4 6	3 146	1157.579213	03/03/1973	1973
100015015	7 8	2 6	1157.581192	03/03/1973	1973
100015047	1 1	33 82	1157.581563	03/03/1973	1973
100015074	0 1	33 82	1157.581875	03/03/1973	1973
100015074	0 1	33 82	1157.581875	03/03/1973	1973
100015074	0 1	33 82	1157.581875	03/03/1973	1973
100015074	0 1	33 82	1157.581875	03/03/1973	1973
100015074	0 1	33 121	1157.581875	03/03/1973	1973
100015074	0 1	33 121	1157.581875	03/03/1973	1973
100015074	0 1	33 121	1157.581875	03/03/1973	1973
100015074	0 1	33 121	1157.581875	03/03/1973	1973
100015314	4 6	3 146	1157.584653	03/03/1973	1973
100015634	1 6	3 27	1157.588356	03/03/1973	1973
100015634	1 6	3 27	1157.588356	03/03/1973	1973
100015634	1 6	3 34	1157.588356	03/03/1973	1973
100015634	1 6	3 34	1157.588356	03/03/1973	1973
100015634	1 6	3 73	1157.588356	03/03/1973	1973
100015634	1 6	3 73	1157.588356	03/03/1973	1973
100015634	1 6	3 82	1157.588356	03/03/1973	1973
100015634	1 6	3 82	1157.588356	03/03/1973	1973
100015634	1 6	3 107	1157.588356	03/03/1973	1973
100015634	1 6	3 107	1157.588356	03/03/1973	1973
100015634	1 6	3 146	1157.588356	03/03/1973	1973
100015634	1 6	3 146	1157.588356	03/03/1973	1973
100015646	7 1	08 108	1157.588495	03/03/1973	1973
100015646	7 1	08 108	1157.588495	03/03/1973	1973
100015646	7 1	08 108	1157.588495	03/03/1973	1973
100015646	7 1	08 108	1157.588495	03/03/1973	1973
100015646	7 1	08 158	1157.588495	03/03/1973	1973
100015646	7 1	08 158	1157.588495	03/03/1973	1973
100015646	7 1	08 158	1157.588495	03/03/1973	1973
100015646	7 1	08 158	1157.588495	03/03/1973	1973
100020126	8 8	2 82	1157.640347	03/03/1973	1973
100020289	8 1	65 110	1157.642234	03/03/1973	1973
100020289	8 1	65 155	1157.642234	03/03/1973	1973
100020289	8 1	65 169	1157.642234	03/03/1973	1973
100020634	6 1	21 40	1157.646227	03/03/1973	1973
100020715	0 1	46 63	1157.647164	03/03/1973	1973
100020715	0 1	46 63	1157.647164	03/03/1973	1973
100021953	7 6	3 146	1157.661493	03/03/1973	1973
100022226	9 7	3 5	1157.664653	03/03/1973	1973
100022226	9 7	3 5	1157.664653	03/03/1973	1973
100022226	9 7	3 5	1157.664653	03/03/1973	1973
100022226	9 7	3 5	1157.664653	03/03/1973	1973
100022226	9 7	3 27	1157.664653	03/03/1973	1973
100022226	9 7	3 27	1157.664653	03/03/1973	1973
100022226	9 7	3 27	1157.664653	03/03/1973	1973
100022226	9 7	3 27	1157.664653	03/03/1973	1973
100022226	9 7	3 37	1157.664653	03/03/1973	1973
100022226	9 7	3 37	1157.664653	03/03/1973	1973
100022226	9 7	3 37	1157.664653	03/03/1973	1973
100022226	9 7	3 37	1157.664653	03/03/1973	1973
100022226	9 7	3 51	1157.664653	03/03/1973	1973
100022226	9 7	3 51	1157.664653	03/03/1973	1973
100022226	9 7	3 51	1157.664653	03/03/1973	1973
100022226	9 7	3 51	1157.664653	03/03/1973	1973
100022226	9 7	3 57	1157.664653	03/03/1973	1973
100022226	9 7	3 57	1157.664653	03/03/1973	1973
100022226	9 7	3 57	1157.664653	03/03/1973	1973
